id,soc.t.ha,thickness.dm,x,y
P 030026,16.42817464,1.7,2925890.41,531602.5961
P 030029,39.53894903,3.4,2747092.875,528007.6126
P 030032,36.17686793,4,2833401.552,525289.8957
P 030037,76.22183849,10.3,2915959.799,522014.4948
P 030039,22.94272947,2.1,2819876.389,517809.758
P 030041,92.96010113,11.1,2891332.243,516451.733
P 030043,41.15646515,4.7,2869819.545,515781.854
P 030047,184.0118173,10,2867678.946,509846.3643
P 030049,73.78750322,6.8,2912460.472,508154.4167
P 030050,40.38226356,4.3,2894772.751,506535.0809
P 030052,105.3609451,8.9,2924673.564,504225.07
P 030054,6.900333504,1.6,2886981.148,501685.4176
P 030058,10.76858402,1.5,2873737.063,491323.1367
P 030064,74.67747706,9,2915457.684,522449.3755
P 030065,48.45967767,5,2914251.693,508415.4585
P 030087,12.88646532,3,2747105.197,527947.6364
P 032001,61.71518824,7.2,3121902.771,566904.7906
P 032002,16.02326405,4.6,3076038.461,564951.5812
P 032004,179.3840311,15,3041362.975,561811.0704
P 032006,93.25580532,12.5,3060965.543,560566.3326
P 032010,47.59626469,4.1,3034398.499,558672.1665
P 032020,53.59740007,2.3,3101553.883,549625.9998
P 032028,16.18973948,1.3,3067421.423,540703.5973
P 032029,79.43009278,12.5,3062160.53,539933.3337
P 032031,26.91698278,7.4,3048290.463,537888.5466
P 032057,16.88734845,2.6,3069120.968,503850.2463
P 032064,86.64167592,12.9,3078231.204,497432.7809
P 032069,61.9867276,3.2,3090331.507,494873.7713
P 032070,90.83756951,1.9,3106287.204,495240.236
P 032074,73.00485607,12.5,3075800.347,493112.7826
P 032075,63.23554291,10.5,3119124.769,494531.5262
P 032096,96.86677239,9,3092193.827,466558.9139
P 032201,16.33655334,1.2,3122944.26,557659.87
P 032202,24.82094294,7,3113886.07,546655.4508
P 032203,25.12603675,1.5,3136163.461,519313.6072
P 032204,246.4387649,13.3,3109153.567,479092.8943
P 032205,20.93133531,3.6,3107542.108,504062.3012
P 032206,117.8895813,13,3094465.897,479272.5619
P 032207,26.00040284,11.2,3056707.48,465073.3623
P 032208,13.94269439,0.6,2999180.242,511152.9342
P 032209,55.34727743,12.5,3017930.54,511344.6774
P 032210,62.42529304,12.8,3025590.168,476687.6872
P 032211,36.12786221,4.3,2979884.746,482666.606
P 032212,6.329874053,0.5,2964744.457,512024.1703
P 032213,20.60745369,12.7,2939850.32,511467.9375
P 032214,46.24795074,13.4,2946251.879,549922.997
P 032215,106.0747438,12.2,2980909.901,543822.9468
P 035001,85.41629026,9.7,3338281.782,694230.5767
P 035002,60.81510119,13.6,3315253.719,705022.8873
P 035003,53.3597444,13,3277266.109,695274.7248
P 035004,205.0591219,12.7,3262665.122,725785.0329
P 035005,122.6359651,12.5,3251652.463,714953.1478
